id,age_min,age_max,raw_min,raw_max,standard,rank
bl1,12,13,11,17,8,0
bl1,12,13,7,10,7,0
bl1,12,13,6,6,6,1
bl1,12,13,4,5,5,2
bl1,12,13,3,3,4,2
bl1,12,13,1,2,3,2
bl1,12,13,0,0,2,2

bl1,13,14,29,inf,13,0
bl1,13,14,27,28,11,0
bl1,13,14,23,26,10,0
bl1,13,14,18,22,9,0
bl1,13,14,11,17,8,0
bl1,13,14,7,10,7,0
bl1,13,14,6,6,6,1
bl1,13,14,4,5,5,2
bl1,13,14,3,3,4,2
bl1,13,14,1,2,3,2
bl1,13,14,0,0,2,2

bl1,14,15,29,inf,13,0
bl1,14,15,28,28,11,0
bl1,14,15,23,27,10,0
bl1,14,15,18,22,9,0
bl1,14,15,11,17,8,0
bl1,14,15,8,10,7,0
bl1,14,15,7,7,6,1
bl1,14,15,4,6,5,2
bl1,14,15,3,3,4,2
bl1,14,15,1,2,3,2
bl1,14,15,0,0,2,2

bl1,15,16,29,inf,13,0
bl1,15,16,28,28,11,0
bl1,15,16,23,27,10,0
bl1,15,16,18,22,9,0
bl1,15,16,11,17,8,0
bl1,15,16,8,10,7,0
bl1,15,16,7,7,6,1
bl1,15,16,6,6,5,2
bl1,15,16,4,5,4,2
bl1,15,16,1,3,3,2
bl1,15,16,0,0,2,2

bl11,5,6,30,inf,13,0
bl11,5,6,21,29,11,0
bl11,5,6,15,20,10,0
bl11,5,6,11,14,9,0
bl11,5,6,8,10,8,0
bl11,5,6,6,7,7,0
bl11,5,6,5,5,6,1
bl11,5,6,4,4,4,2
bl11,5,6,0,3,3,2

bl11,6,7,30,inf,13,0
bl11,6,7,28,29,10,0
bl11,6,7,24,27,9,0
bl11,6,7,15,23,8,0
bl11,6,7,11,14,7,0
bl11,6,7,7,10,6,1
bl11,6,7,6,6,5,2
bl11,6,7,4,5,4,2
bl11,6,7,0,3,3,2

bl11,7,8,28,inf,14,0
bl11,7,8,25,27,12,0
bl11,7,8,20,24,11,0
bl11,7,8,16,19,10,0
bl11,7,8,11,15,9,0
bl11,7,8,8,10,8,0
bl11,7,8,6,7,7,0
bl11,7,8,5,5,6,1
bl11,7,8,4,4,5,2
bl11,7,8,2,3,4,2
bl11,7,8,0,1,3,2

bl11,8,9,29,inf,13,0
bl11,8,9,26,28,12,0
bl11,8,9,22,25,11,0
bl11,8,9,19,21,10,0
bl11,8,9,13,18,9,0
bl11,8,9,11,12,8,0
bl11,8,9,9,10,7,0
bl11,8,9,7,8,6,1
bl11,8,9,6,6,5,2
bl11,8,9,4,5,4,2
bl11,8,9,0,3,3,2

bl11,9,10,30,inf,13,0
bl11,9,10,29,29,12,0
bl11,9,10,26,28,11,0
bl11,9,10,23,25,10,0
bl11,9,10,19,22,9,0
bl11,9,10,15,18,8,0
bl11,9,10,10,14,7,0
bl11,9,10,8,9,6,1
bl11,9,10,6,7,5,2
bl11,9,10,4,5,4,2
bl11,9,10,0,3,3,2

bl11,10,11,30,inf,13,0
